Omega,Implementation,Time
1.0,cuCOSMA,1.2807377049180328e-06
1.0,cuCOSMA,1.2600806451612903e-06
1.0,cuCOSMA,1.2703252032520325e-06
1.0,cuCOSMA,1.2913223140495869e-06
1.0,cuCOSMA,1.2112403100775194e-06
1.0,cuCOSMA,1.2807377049180328e-06
1.0,cuCOSMA,1.2807377049180328e-06
1.0,cuCOSMA,1.3020833333333333e-06
1.0,cuCOSMA,1.2807377049180328e-06
1.0,cuCOSMA,1.1837121212121212e-06
1.0,cuCOSMA,1.25e-06
1.0,cuCOSMA,1.3020833333333333e-06
1.0,cuCOSMA,1.2600806451612903e-06
1.0,cuCOSMA,1.2703252032520325e-06
1.0,cuCOSMA,1.240079365079365e-06
1.0,cuCOSMA,1.166044776119403e-06
1.0,cuCOSMA,1.1322463768115942e-06
1.0,cuCOSMA,1.166044776119403e-06
1.0,cuCOSMA,1.2600806451612903e-06
1.0,cuCOSMA,1.220703125e-06
1.0,cuCOSMA,1.2807377049180328e-06
1.0,cuCOSMA,1.2913223140495869e-06
1.0,cuCOSMA,1.2913223140495869e-06
1.0,cuCOSMA,1.3020833333333333e-06
1.0,cuCOSMA,1.2600806451612903e-06
1.0,cuCOSMA,1.2703252032520325e-06
1.0,cuCOSMA,1.2703252032520325e-06
1.0,cuCOSMA,1.2703252032520325e-06
1.0,cuCOSMA,1.1837121212121212e-06
1.0,cuCOSMA,1.2913223140495869e-06
1.0,cuCOSMA,1.2303149606299212e-06
1.0,cuCOSMA,1.2913223140495869e-06
1.0,cuCOSMA,1.2913223140495869e-06
1.0,cuCOSMA,1.2807377049180328e-06
1.0,cuCOSMA,1.2112403100775194e-06
1.0,cuCOSMA,1.2913223140495869e-06
1.0,cuCOSMA,1.240079365079365e-06
1.0,cuCOSMA,1.25e-06
1.0,cuCOSMA,1.2807377049180328e-06
1.0,cuCOSMA,1.2913223140495869e-06
1.0,cuCOSMA,1.240079365079365e-06
1.0,cuCOSMA,1.240079365079365e-06
1.0,cuCOSMA,1.3020833333333333e-06
1.0,cuCOSMA,1.2913223140495869e-06
1.0,cuCOSMA,1.2913223140495869e-06
1.0,cuCOSMA,1.2913223140495869e-06
1.0,cuCOSMA,1.2807377049180328e-06
1.0,cuCOSMA,1.2913223140495869e-06
1.0,cuCOSMA,1.2807377049180328e-06
1.0,cuCOSMA,1.2807377049180328e-06
1.0,cuCOSMA,1.1927480916030535e-06
1.0,cuCOSMA,1.2913223140495869e-06
1.0,cuCOSMA,1.220703125e-06
1.0,cuCOSMA,1.2913223140495869e-06
1.0,cuCOSMA,1.2913223140495869e-06
1.0,cuCOSMA,1.220703125e-06
1.0,cuCOSMA,1.2913223140495869e-06
1.0,cuCOSMA,1.2913223140495869e-06
1.0,cuCOSMA,1.2807377049180328e-06
1.0,cuCOSMA,1.3020833333333333e-06
1.0,cuCOSMA,1.2913223140495869e-06
1.0,cuCOSMA,1.166044776119403e-06
1.0,cuCOSMA,1.240079365079365e-06
1.0,cuCOSMA,1.240079365079365e-06
1.0,cuCOSMA,1.2112403100775194e-06
1.0,cuCOSMA,1.174812030075188e-06
1.0,cuCOSMA,1.2112403100775194e-06
1.0,cuCOSMA,1.2600806451612903e-06
1.0,cuCOSMA,1.2703252032520325e-06
1.0,cuCOSMA,1.2303149606299212e-06
1.0,cuCOSMA,1.2913223140495869e-06
1.0,cuCOSMA,1.2913223140495869e-06
1.0,cuCOSMA,1.25e-06
2.0,CUTLASS,7.08502024291498e-06
2.0,CUTLASS,6.730769230769231e-06
2.0,CUTLASS,6.161971830985915e-06
2.0,CUTLASS,6.809338521400778e-06
2.0,CUTLASS,6.809338521400778e-06
2.0,CUTLASS,6.782945736434108e-06
2.0,CUTLASS,6.782945736434108e-06
2.0,CUTLASS,6.97211155378486e-06
2.0,CUTLASS,6.889763779527559e-06
2.0,CUTLASS,6.481481481481481e-06
2.0,CUTLASS,6.862745098039215e-06
2.0,CUTLASS,6.944444444444445e-06
2.0,CUTLASS,6.890611541774332e-06
2.0,CUTLASS,6.889763779527559e-06
2.0,CUTLASS,6.862745098039215e-06
2.0,CUTLASS,6.889763779527559e-06
2.0,CUTLASS,6.944444444444445e-06
2.0,CUTLASS,6.944444444444445e-06
2.0,CUTLASS,6.756756756756757e-06
2.0,CUTLASS,6.97211155378486e-06
2.0,CUTLASS,6.862745098039215e-06
2.0,CUTLASS,6.529850746268657e-06
