Omega,Implementation,Time
1.0,cuCOSMA,1.2703252032520325e-06
1.0,cuCOSMA,1.2703252032520325e-06
1.0,cuCOSMA,1.201923076923077e-06
1.0,cuCOSMA,1.2703252032520325e-06
1.0,cuCOSMA,1.240079365079365e-06
1.0,cuCOSMA,1.2703252032520325e-06
1.0,cuCOSMA,1.2703252032520325e-06
1.0,cuCOSMA,1.25e-06
1.0,cuCOSMA,1.2807377049180328e-06
1.0,cuCOSMA,1.2303149606299212e-06
1.0,cuCOSMA,1.174812030075188e-06
1.0,cuCOSMA,1.2703252032520325e-06
1.0,cuCOSMA,1.240079365079365e-06
1.0,cuCOSMA,1.2303149606299212e-06
1.0,cuCOSMA,1.240079365079365e-06
1.0,cuCOSMA,1.2703252032520325e-06
1.0,cuCOSMA,1.2303149606299212e-06
1.0,cuCOSMA,1.1927480916030535e-06
1.0,cuCOSMA,1.25e-06
1.0,cuCOSMA,1.240079365079365e-06
1.0,cuCOSMA,1.2703252032520325e-06
1.0,cuCOSMA,1.2703252032520325e-06
1.0,cuCOSMA,1.240079365079365e-06
1.0,cuCOSMA,1.25e-06
1.0,cuCOSMA,1.2210012210012211e-06
1.0,cuCOSMA,1.2600806451612903e-06
1.0,cuCOSMA,1.240079365079365e-06
1.0,cuCOSMA,1.25e-06
1.0,cuCOSMA,1.2807377049180328e-06
1.0,cuCOSMA,1.2112403100775194e-06
1.0,cuCOSMA,1.2807377049180328e-06
1.0,cuCOSMA,1.2703252032520325e-06
1.0,cuCOSMA,1.2703252032520325e-06
1.0,cuCOSMA,1.2703252032520325e-06
1.0,cuCOSMA,1.174812030075188e-06
1.0,cuCOSMA,1.2600806451612903e-06
1.0,cuCOSMA,1.2703252032520325e-06
1.0,cuCOSMA,1.2807377049180328e-06
1.0,cuCOSMA,1.25e-06
1.0,cuCOSMA,1.2703252032520325e-06
1.0,cuCOSMA,1.2703252032520325e-06
1.0,cuCOSMA,1.2703252032520325e-06
1.0,cuCOSMA,1.1405109489051096e-06
1.0,cuCOSMA,1.240079365079365e-06
1.0,cuCOSMA,1.240079365079365e-06
1.0,cuCOSMA,1.2703252032520325e-06
2.0,CUTLASS,1.4057989205472575e-05
2.0,CUTLASS,1.3565891472868217e-05
2.0,CUTLASS,1.3565891472868217e-05
2.0,CUTLASS,1.3618677042801557e-05
2.0,CUTLASS,1.3515144201761794e-05
2.0,CUTLASS,1.3618677042801557e-05
2.0,CUTLASS,1.3409961685823755e-05
2.0,CUTLASS,1.3461538461538462e-05
2.0,CUTLASS,1.3358778625954198e-05
2.0,CUTLASS,1.3108614232209737e-05
2.0,CUTLASS,1.3513513513513513e-05
2.0,CUTLASS,1.3618677042801557e-05
2.0,CUTLASS,1.3779527559055118e-05
2.0,CUTLASS,1.3565891472868217e-05
2.0,CUTLASS,1.232394366197183e-05
